endereco,preco,metragem,quartos,vaga
"QN 320 CONJUNTO 11, SAMAMBAIA SUL, SAMAMBAIA",1000000.0,35,1,1
QN 401,900000.0,200,3,0
"QR 203, SAMAMBAIA NORTE, SAMAMBAIA",766000.0,114,2,1
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",763000.0,108,2,0
"QN 122 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",725919.0,108,2,0
"QN 122, SAMAMBAIA SUL, SAMAMBAIA",725919.0,108,2,0
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",725000.0,108,2,0
"QR 615 CONJUNTO 7, SAMAMBAIA NORTE, SAMAMBAIA",710000.0,320,14,0
QN 401,630000.0,92,3,1
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",580000.0,84,2,1
"QR 502 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",565000.0,112,3,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",560000.0,112,3,1
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",549000.0,112,3,1
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",540000.0,94,2,1
"QN 401, SAMAMBAIA NORTE, SAMAMBAIA",535000.0,82,3,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",530000.0,112,3,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",515000.0,112,3,1
"QR 502, SAMAMBAIA SUL, SAMAMBAIA",510000.0,112,3,1
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",509000.0,112,3,1
"QR 502, SAMAMBAIA SUL, SAMAMBAIA",508000.0,112,3,1
"QR 502 CONJUNTO 2, SAMAMBAIA SUL, SAMAMBAIA",505000.0,112,3,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",500000.0,112,3,1
QN 408,500000.0,61,2,1
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",500000.0,118,3,1
QR 108 CONJUNTO 7,500000.0,64,3,1
"QR 508, SAMAMBAIA SUL, SAMAMBAIA",495000.0,198,5,0
"QN 412, SAMAMBAIA NORTE, SAMAMBAIA",490000.0,100,2,1
"QN 401, SAMAMBAIA NORTE, SAMAMBAIA",480000.0,92,3,1
QN 412,470000.0,118,3,1
"QR 106, SAMAMBAIA SUL, SAMAMBAIA",470000.0,63,3,1
"QR 104, SAMAMBAIA SUL, SAMAMBAIA",450000.0,63,3,1
QN 321,450000.0,127,2,0
"QR 104 CONJUNTO 10, SAMAMBAIA SUL, SAMAMBAIA",449000.0,63,3,1
"QR 314 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",430000.0,89,3,1
"QR 202 CONJUNTO 2, SAMAMBAIA NORTE, SAMAMBAIA",425000.0,70,3,0
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",421000.0,53,2,1
"QN 122 CONJUNTO 3, SAMAMBAIA SUL, SAMAMBAIA",415234.0,54,2,1
"QR 104 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",413000.0,63,3,1
"QR 202 CONJUNTO 2, SAMAMBAIA NORTE, SAMAMBAIA",410000.0,69,3,1
"QN 122, SAMAMBAIA SUL, SAMAMBAIA",409900.0,80,2,1
"QN 122 CONJUNTO 1, SAMAMBAIA SUL, SAMAMBAIA",409000.0,78,2,1
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",403000.0,54,2,1
"QR 202, SAMAMBAIA NORTE, SAMAMBAIA",403000.0,69,3,1
"QR 202 CONJUNTO 1, SAMAMBAIA NORTE, SAMAMBAIA",402000.0,61,2,1
"QR 120 CONJUNTO 10, SAMAMBAIA SUL, SAMAMBAIA",400000.0,52,2,1
"QR 104, SAMAMBAIA SUL, SAMAMBAIA",398000.0,63,3,1
