endereco,preco,metragem,quartos,vaga,lat,lng,distancia_metro_km
QN 401,900000.0,200,3,0,-15.8791823,-48.0054652,5.865526999766807
"QR 203, SAMAMBAIA NORTE, SAMAMBAIA",766000.0,114,2,1,-15.8754489,-48.0937017,3.598760807234361
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",763000.0,108,2,0,-15.8630378,-48.0834912,2.7208052371896208
"QN 122 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",725919.0,108,2,0,-15.885615,-48.1001404,3.946005882276
"QN 122, SAMAMBAIA SUL, SAMAMBAIA",725919.0,108,2,0,-15.8663461,-48.0602033,0.5012107288004871
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",725000.0,108,2,0,-15.8630378,-48.0834912,2.7208052371896208
QN 401,630000.0,92,3,1,-15.8791823,-48.0054652,5.865526999766807
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",580000.0,84,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",560000.0,112,3,1,-15.885615,-48.1001404,3.946005882276
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",549000.0,112,3,1,-15.8680685,-48.0841972,2.7087148680407465
"QN 614, SAMAMBAIA NORTE, SAMAMBAIA",540000.0,94,2,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 401, SAMAMBAIA NORTE, SAMAMBAIA",535000.0,82,3,1,-15.8805721,-48.0933349,3.3579594057975295
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",530000.0,112,3,1,-15.885615,-48.1001404,3.946005882276
"QN 502 CONJUNTO 9, SAMAMBAIA SUL, SAMAMBAIA",515000.0,112,3,1,-15.885615,-48.1001404,3.946005882276
"QR 502, SAMAMBAIA SUL, SAMAMBAIA",510000.0,112,3,1,-15.8630378,-48.0834912,2.7208052371896208
"QN 502, SAMAMBAIA SUL, SAMAMBAIA",509000.0,112,3,1,-15.8680685,-48.0841972,2.7087148680407465
